 item event, enter time, total time(us)
 load begin, 12:05:05.305670, 0
 load end, 12:05:05.326103, 20433
 inference begin, 12:05:05.335831, 0
 inference end, 12:05:05.337256, 1425
 inference begin, 12:05:05.337309, 0
 inference end, 12:05:05.339042, 1733
 inference begin, 12:05:05.339100, 0
 inference end, 12:05:05.340534, 1434
 inference begin, 12:05:05.340583, 0
 inference end, 12:05:05.341927, 1344
 inference begin, 12:05:05.341954, 0
 inference end, 12:05:05.343224, 1270
 inference begin, 12:05:05.343583, 0
 inference end, 12:05:05.344996, 1413
 inference begin, 12:05:05.345029, 0
 inference end, 12:05:05.346445, 1416
 inference begin, 12:05:05.346471, 0
 inference end, 12:05:05.347770, 1299
 inference begin, 12:05:05.347789, 0
 inference end, 12:05:05.349036, 1247
 inference begin, 12:05:05.349047, 0
 inference end, 12:05:05.350321, 1274
 inference begin, 12:05:05.350663, 0
 inference end, 12:05:05.351956, 1293
 inference begin, 12:05:05.351983, 0
 inference end, 12:05:05.353268, 1285
 inference begin, 12:05:05.353283, 0
 inference end, 12:05:05.354557, 1274
 inference begin, 12:05:05.354572, 0
 inference end, 12:05:05.355921, 1349
 inference begin, 12:05:05.355934, 0
 inference end, 12:05:05.357267, 1333
 inference begin, 12:05:05.357560, 0
 inference end, 12:05:05.358979, 1419
 inference begin, 12:05:05.359004, 0
 inference end, 12:05:05.360411, 1407
 inference begin, 12:05:05.360429, 0
 inference end, 12:05:05.361840, 1411
 inference begin, 12:05:05.361858, 0
 inference end, 12:05:05.363248, 1390
 inference begin, 12:05:05.363261, 0
 inference end, 12:05:05.364704, 1443
 inference begin, 12:05:05.365019, 0
 inference end, 12:05:05.366448, 1429
 inference begin, 12:05:05.366481, 0
 inference end, 12:05:05.367787, 1306
 inference begin, 12:05:05.367800, 0
 inference end, 12:05:05.369080, 1280
 inference begin, 12:05:05.369095, 0
 inference end, 12:05:05.370431, 1336
 inference begin, 12:05:05.370448, 0
 inference end, 12:05:05.371787, 1339
 inference begin, 12:05:05.372036, 0
 inference end, 12:05:05.373542, 1506
 inference begin, 12:05:05.373564, 0
 inference end, 12:05:05.375224, 1660
 inference begin, 12:05:05.375243, 0
 inference end, 12:05:05.376760, 1517
 inference begin, 12:05:05.376772, 0
 inference end, 12:05:05.378295, 1523
 inference begin, 12:05:05.378304, 0
 inference end, 12:05:05.380047, 1743
 inference begin, 12:05:05.380392, 0
 inference end, 12:05:05.382061, 1669
 inference begin, 12:05:05.382086, 0
 inference end, 12:05:05.383848, 1762
 inference begin, 12:05:05.383863, 0
 inference end, 12:05:05.385500, 1637
 inference begin, 12:05:05.385513, 0
 inference end, 12:05:05.387187, 1674
 inference begin, 12:05:05.387211, 0
 inference end, 12:05:05.388941, 1730
 inference begin, 12:05:05.389299, 0
 inference end, 12:05:05.391049, 1750
 inference begin, 12:05:05.391075, 0
 inference end, 12:05:05.392831, 1756
 inference begin, 12:05:05.392857, 0
 inference end, 12:05:05.394645, 1788
 inference begin, 12:05:05.394663, 0
 inference end, 12:05:05.396474, 1811
 inference begin, 12:05:05.396492, 0
 inference end, 12:05:05.398202, 1710
 inference begin, 12:05:05.398536, 0
 inference end, 12:05:05.400323, 1787
 inference begin, 12:05:05.400390, 0
 inference end, 12:05:05.402510, 2120
 inference begin, 12:05:05.402571, 0
 inference end, 12:05:05.404686, 2115
 inference begin, 12:05:05.404731, 0
 inference end, 12:05:05.406726, 1995
 inference begin, 12:05:05.406764, 0
 inference end, 12:05:05.408704, 1940
 inference begin, 12:05:05.409308, 0
 inference end, 12:05:05.410812, 1504
 inference begin, 12:05:05.410842, 0
 inference end, 12:05:05.412389, 1547
 inference begin, 12:05:05.412412, 0
 inference end, 12:05:05.414072, 1660
 inference begin, 12:05:05.414108, 0
 inference end, 12:05:05.415719, 1611
 inference begin, 12:05:05.415741, 0
 inference end, 12:05:05.417391, 1650
 unload begin, 12:05:05.424228, 0
 unload end, 12:05:05.436028, 11800
