 op name, start time, total time(us), device type
 /Reshape_output_0(Reshape), 12:05:05.345493, 21, npu_aicore
 netoutput_cast_6(CastT), 12:05:05.345495, 5, npu_aicore
 graphop_data_cast_14(CastT), 12:05:05.345495, 2, npu_aicore
 transdata_for_nd_16(TransData), 12:05:05.345495, 4, npu_aicore
 /model/transformer/h.0/ln_1/LayerNormalization_output_0(LayerNorm), 12:05:05.345496, 5, npu_aicore
 transdata_for_nd_17(TransData), 12:05:05.345496, 4, npu_aicore
 /model/transformer/h.0/attn/c_attn/Reshape_output_0(Reshape), 12:05:05.345496, 2, npu_aicore
 /model/transformer/h.0/attn/c_attn/Gemm_output_0__matmul_converted_MatMul(MatMulV2), 12:05:05.345496, 18, npu_aicore
 /model/transformer/h.0/attn/Split_output_0(SplitD), 12:05:05.345497, 6, npu_aicore
 /model/transformer/h.0/attn/Transpose_1_output_0(Permute), 12:05:05.345497, 2, npu_aicore
 /model/transformer/h.0/attn/Transpose_2_output_0(Permute), 12:05:05.345497, 2, npu_aicore
 /model/transformer/h.0/attn/Transpose_output_0(Permute), 12:05:05.345497, 2, npu_aicore
 /model/transformer/h.0/attn/Mul_1_output_0(Mul), 12:05:05.345498, 2, npu_aicore
 /model/transformer/h.0/attn/Mul_output_0(Mul), 12:05:05.345498, 2, npu_aicore
 /model/transformer/h.0/attn/MatMul_output_0(BatchMatMulV2), 12:05:05.345498, 17, npu_aicore
 /model/transformer/h.0/attn/Add_output_0(Add), 12:05:05.345498, 3, npu_aicore
 /model/transformer/h.0/attn/Softmax_output_0(Softmax), 12:05:05.345499, 3, npu_aicore
 /model/transformer/h.0/attn/MatMul_1_output_0(BatchMatMulV2), 12:05:05.345499, 17, npu_aicore
 /model/transformer/h.0/attn/Transpose_3_output_0(Permute), 12:05:05.345499, 2, npu_aicore
 /model/transformer/h.0/attn/c_proj/Reshape_output_0(Reshape), 12:05:05.345499, 2, npu_aicore
 /model/transformer/h.0/attn/c_proj/Gemm_output_0__matmul_converted_MatMul(MatMulV2), 12:05:05.345500, 17, npu_aicore
 /model/transformer/h.0/Add_output_0(Add), 12:05:05.345500, 1, npu_aicore
 transdata_for_nd_18(TransData), 12:05:05.345500, 4, npu_aicore
 /model/transformer/h.0/ln_2/LayerNormalization_output_0(LayerNorm), 12:05:05.345500, 4, npu_aicore
 transdata_for_nd_19(TransData), 12:05:05.345501, 4, npu_aicore
 /model/transformer/h.0/mlp/c_fc/Reshape_output_0(Reshape), 12:05:05.345501, 2, npu_aicore
 /model/transformer/h.0/mlp/c_fc/Gemm_output_0__matmul_converted_MatMul(MatMulV2), 12:05:05.345501, 17, npu_aicore
 transdata_for_nd_20(TransData), 12:05:05.345502, 4, npu_aicore
 /model/transformer/h.0/mlp/act/Mul_output_0(Mul), 12:05:05.345502, 2, npu_aicore
 /model/transformer/h.0/mlp/act/Pow_output_0(Pow), 12:05:05.345502, 2, npu_aicore
 transdata_for_nd_21(TransData), 12:05:05.345502, 2, npu_aicore
 /model/transformer/h.0/mlp/act/Mul_1_output_0(Mul), 12:05:05.345502, 2, npu_aicore
 /model/transformer/h.0/mlp/act/Add_output_0(Add), 12:05:05.345503, 2, npu_aicore
 /model/transformer/h.0/mlp/act/Mul_2_output_0(Mul), 12:05:05.345503, 2, npu_aicore
 /model/transformer/h.0/mlp/act/Tanh_output_0(Activation), 12:05:05.345503, 1, npu_aicore
 /model/transformer/h.0/mlp/act/Add_1_output_0(Add), 12:05:05.345503, 2, npu_aicore
 /model/transformer/h.0/mlp/act/Mul_3_output_0(Mul), 12:05:05.345504, 2, npu_aicore
 /model/transformer/h.0/mlp/c_proj/Reshape_output_0(Reshape), 12:05:05.345504, 2, npu_aicore
 /model/transformer/h.0/mlp/c_proj/Gemm_output_0__matmul_converted_MatMul(MatMulV2), 12:05:05.345504, 17, npu_aicore
 hidden_block0(Add), 12:05:05.345505, 2, npu_aicore
 netoutput_cast_23(CastT), 12:05:05.345505, 2, npu_aicore
 graphop_data_cast_30(CastT), 12:05:05.345505, 2, npu_aicore
 transdata_for_nd_22(TransData), 12:05:05.345505, 4, npu_aicore
 /model/transformer/h.1/ln_1/LayerNormalization_output_0(LayerNorm), 12:05:05.345505, 4, npu_aicore
 transdata_for_nd_23(TransData), 12:05:05.345505, 4, npu_aicore
 /model/transformer/h.1/attn/c_attn/Reshape_output_0(Reshape), 12:05:05.345506, 2, npu_aicore
 /model/transformer/h.1/attn/c_attn/Gemm_output_0__matmul_converted_MatMul(MatMulV2), 12:05:05.345506, 17, npu_aicore
 /model/transformer/h.1/attn/Split_output_0(SplitD), 12:05:05.345506, 6, npu_aicore
 /model/transformer/h.1/attn/Transpose_1_output_0(Permute), 12:05:05.345506, 2, npu_aicore
 /model/transformer/h.1/attn/Transpose_2_output_0(Permute), 12:05:05.345507, 2, npu_aicore
 /model/transformer/h.1/attn/Transpose_output_0(Permute), 12:05:05.345507, 2, npu_aicore
 /model/transformer/h.1/attn/Mul_1_output_0(Mul), 12:05:05.345507, 2, npu_aicore
 /model/transformer/h.1/attn/Mul_output_0(Mul), 12:05:05.345507, 2, npu_aicore
 /model/transformer/h.1/attn/MatMul_output_0(BatchMatMulV2), 12:05:05.345507, 17, npu_aicore
 /model/transformer/h.1/attn/Add_output_0(Add), 12:05:05.345508, 2, npu_aicore
 /model/transformer/h.1/attn/Softmax_output_0(Softmax), 12:05:05.345508, 3, npu_aicore
 /model/transformer/h.1/attn/MatMul_1_output_0(BatchMatMulV2), 12:05:05.345508, 17, npu_aicore
 /model/transformer/h.1/attn/Transpose_3_output_0(Permute), 12:05:05.345509, 2, npu_aicore
 /model/transformer/h.1/attn/c_proj/Reshape_output_0(Reshape), 12:05:05.345509, 2, npu_aicore
 /model/transformer/h.1/attn/c_proj/Gemm_output_0__matmul_converted_MatMul(MatMulV2), 12:05:05.345509, 17, npu_aicore
 /model/transformer/h.1/Add_output_0(Add), 12:05:05.345509, 2, npu_aicore
 transdata_for_nd_24(TransData), 12:05:05.345510, 4, npu_aicore
 /model/transformer/h.1/ln_2/LayerNormalization_output_0(LayerNorm), 12:05:05.345510, 4, npu_aicore
 transdata_for_nd_25(TransData), 12:05:05.345510, 4, npu_aicore
 /model/transformer/h.1/mlp/c_fc/Reshape_output_0(Reshape), 12:05:05.345510, 2, npu_aicore
 /model/transformer/h.1/mlp/c_fc/Gemm_output_0__matmul_converted_MatMul(MatMulV2), 12:05:05.345511, 17, npu_aicore
 transdata_for_nd_26(TransData), 12:05:05.345511, 4, npu_aicore
 /model/transformer/h.1/mlp/act/Mul_output_0(Mul), 12:05:05.345511, 2, npu_aicore
 /model/transformer/h.1/mlp/act/Pow_output_0(Pow), 12:05:05.345511, 2, npu_aicore
 transdata_for_nd_27(TransData), 12:05:05.345512, 2, npu_aicore
 /model/transformer/h.1/mlp/act/Mul_1_output_0(Mul), 12:05:05.345512, 2, npu_aicore
 /model/transformer/h.1/mlp/act/Add_output_0(Add), 12:05:05.345512, 2, npu_aicore
 /model/transformer/h.1/mlp/act/Mul_2_output_0(Mul), 12:05:05.345512, 2, npu_aicore
 /model/transformer/h.1/mlp/act/Tanh_output_0(Activation), 12:05:05.345513, 2, npu_aicore
 /model/transformer/h.1/mlp/act/Add_1_output_0(Add), 12:05:05.345513, 2, npu_aicore
 /model/transformer/h.1/mlp/act/Mul_3_output_0(Mul), 12:05:05.345513, 2, npu_aicore
 /model/transformer/h.1/mlp/c_proj/Reshape_output_0(Reshape), 12:05:05.345513, 2, npu_aicore
 /model/transformer/h.1/mlp/c_proj/Gemm_output_0__matmul_converted_MatMul(MatMulV2), 12:05:05.345514, 17, npu_aicore
 /model/transformer/h.1/Add_1_output_0(Add), 12:05:05.345514, 2, npu_aicore
 transdata_for_nd_28(TransData), 12:05:05.345514, 4, npu_aicore
 /model/transformer/ln_f/LayerNormalization_output_0(LayerNorm), 12:05:05.345515, 4, npu_aicore
 transdata_for_nd_29(TransData), 12:05:05.345515, 4, npu_aicore
 hidden_block1(Reshape), 12:05:05.345515, 2, npu_aicore
 logits__matmul_converted_MatMul_InReshape(Reshape), 12:05:05.345515, 6, npu_aicore
 logits__matmul_converted_MatMul(MatMulV2), 12:05:05.345516, 420, npu_aicore
 logits(Reshape), 12:05:05.345516, 48, npu_aicore
 /Reshape_output_0(Reshape), 12:05:05.345516, 20, npu_aicore
 netoutput_cast_6(CastT), 12:05:05.345516, 4, npu_aicore
 graphop_data_cast_14(CastT), 12:05:05.345517, 3, npu_aicore
 transdata_for_nd_16(TransData), 12:05:05.345517, 4, npu_aicore
 /model/transformer/h.0/ln_1/LayerNormalization_output_0(LayerNorm), 12:05:05.345517, 4, npu_aicore
 transdata_for_nd_17(TransData), 12:05:05.345517, 4, npu_aicore
 /model/transformer/h.0/attn/c_attn/Reshape_output_0(Reshape), 12:05:05.345517, 2, npu_aicore
 /model/transformer/h.0/attn/c_attn/Gemm_output_0__matmul_converted_MatMul(MatMulV2), 12:05:05.345518, 18, npu_aicore
 /model/transformer/h.0/attn/Split_output_0(SplitD), 12:05:05.345518, 6, npu_aicore
 /model/transformer/h.0/attn/Transpose_1_output_0(Permute), 12:05:05.345518, 2, npu_aicore
 /model/transformer/h.0/attn/Transpose_2_output_0(Permute), 12:05:05.345518, 2, npu_aicore
 /model/transformer/h.0/attn/Transpose_output_0(Permute), 12:05:05.345519, 2, npu_aicore
 /model/transformer/h.0/attn/Mul_1_output_0(Mul), 12:05:05.345519, 2, npu_aicore
 /model/transformer/h.0/attn/Mul_output_0(Mul), 12:05:05.345519, 2, npu_aicore
 /model/transformer/h.0/attn/MatMul_output_0(BatchMatMulV2), 12:05:05.345520, 17, npu_aicore
 /model/transformer/h.0/attn/Add_output_0(Add), 12:05:05.345520, 2, npu_aicore
 /model/transformer/h.0/attn/Softmax_output_0(Softmax), 12:05:05.345520, 3, npu_aicore
 /model/transformer/h.0/attn/MatMul_1_output_0(BatchMatMulV2), 12:05:05.345520, 17, npu_aicore
 /model/transformer/h.0/attn/Transpose_3_output_0(Permute), 12:05:05.345520, 2, npu_aicore
 /model/transformer/h.0/attn/c_proj/Reshape_output_0(Reshape), 12:05:05.345521, 2, npu_aicore
 /model/transformer/h.0/attn/c_proj/Gemm_output_0__matmul_converted_MatMul(MatMulV2), 12:05:05.345521, 17, npu_aicore
 /model/transformer/h.0/Add_output_0(Add), 12:05:05.345521, 2, npu_aicore
 transdata_for_nd_18(TransData), 12:05:05.345522, 4, npu_aicore
 /model/transformer/h.0/ln_2/LayerNormalization_output_0(LayerNorm), 12:05:05.345522, 4, npu_aicore
 transdata_for_nd_19(TransData), 12:05:05.345522, 4, npu_aicore
 /model/transformer/h.0/mlp/c_fc/Reshape_output_0(Reshape), 12:05:05.345522, 2, npu_aicore
 /model/transformer/h.0/mlp/c_fc/Gemm_output_0__matmul_converted_MatMul(MatMulV2), 12:05:05.345523, 17, npu_aicore
 transdata_for_nd_20(TransData), 12:05:05.345523, 4, npu_aicore
 /model/transformer/h.0/mlp/act/Mul_output_0(Mul), 12:05:05.345523, 2, npu_aicore
 /model/transformer/h.0/mlp/act/Pow_output_0(Pow), 12:05:05.345523, 2, npu_aicore
 transdata_for_nd_21(TransData), 12:05:05.345524, 2, npu_aicore
 /model/transformer/h.0/mlp/act/Mul_1_output_0(Mul), 12:05:05.345524, 2, npu_aicore
 /model/transformer/h.0/mlp/act/Add_output_0(Add), 12:05:05.345524, 2, npu_aicore
 /model/transformer/h.0/mlp/act/Mul_2_output_0(Mul), 12:05:05.345524, 2, npu_aicore
 /model/transformer/h.0/mlp/act/Tanh_output_0(Activation), 12:05:05.345525, 2, npu_aicore
 /model/transformer/h.0/mlp/act/Add_1_output_0(Add), 12:05:05.345525, 2, npu_aicore
 /model/transformer/h.0/mlp/act/Mul_3_output_0(Mul), 12:05:05.345525, 2, npu_aicore
 /model/transformer/h.0/mlp/c_proj/Reshape_output_0(Reshape), 12:05:05.345526, 2, npu_aicore
 /model/transformer/h.0/mlp/c_proj/Gemm_output_0__matmul_converted_MatMul(MatMulV2), 12:05:05.345526, 17, npu_aicore
 hidden_block0(Add), 12:05:05.345526, 2, npu_aicore
 netoutput_cast_23(CastT), 12:05:05.345526, 2, npu_aicore
 graphop_data_cast_30(CastT), 12:05:05.345526, 2, npu_aicore
 transdata_for_nd_22(TransData), 12:05:05.345527, 4, npu_aicore
